[1, 330] | loss: 4.5104 | contrastive: 3.8318 | asl: 0.6786
[1, 335] | loss: 4.5543 | contrastive: 3.8591 | asl: 0.6952
[1, 340] | loss: 4.4673 | contrastive: 3.8365 | asl: 0.6308
[1, 345] | loss: 4.5169 | contrastive: 3.8270 | asl: 0.6899
[1, 350] | loss: 4.5595 | contrastive: 3.8292 | asl: 0.7303
[1, 355] | loss: 4.5297 | contrastive: 3.8429 | asl: 0.6868
[1, 360] | loss: 4.4642 | contrastive: 3.8326 | asl: 0.6316
[1, 365] | loss: 4.4838 | contrastive: 3.8277 | asl: 0.6561
[1, 370] | loss: 4.4963 | contrastive: 3.8370 | asl: 0.6593
[1, 375] | loss: 4.4827 | contrastive: 3.8152 | asl: 0.6674
[1, 380] | loss: 4.5166 | contrastive: 3.8462 | asl: 0.6704
[1, 385] | loss: 4.4812 | contrastive: 3.8148 | asl: 0.6664
[1, 390] | loss: 4.5201 | contrastive: 3.8261 | asl: 0.6941
[1, 395] | loss: 4.5285 | contrastive: 3.8420 | asl: 0.6866
[1, 400] | loss: 4.4945 | contrastive: 3.8201 | asl: 0.6744
[1, 405] | loss: 4.4752 | contrastive: 3.8120 | asl: 0.6632
[1, 410] | loss: 4.5233 | contrastive: 3.8462 | asl: 0.6771
[1, 415] | loss: 4.4715 | contrastive: 3.8242 | asl: 0.6473
[1, 420] | loss: 4.5240 | contrastive: 3.8254 | asl: 0.6987
[1, 425] | loss: 4.5083 | contrastive: 3.8200 | asl: 0.6883
[1, 430] | loss: 4.4668 | contrastive: 3.8222 | asl: 0.6446
[1, 435] | loss: 4.4526 | contrastive: 3.8113 | asl: 0.6413
[1, 440] | loss: 4.5340 | contrastive: 3.8279 | asl: 0.7061
[1, 445] | loss: 4.4839 | contrastive: 3.8149 | asl: 0.6691
[1, 450] | loss: 4.5107 | contrastive: 3.8203 | asl: 0.6904
[1, 455] | loss: 4.4716 | contrastive: 3.8151 | asl: 0.6565
[1, 460] | loss: 4.4833 | contrastive: 3.8198 | asl: 0.6635
[1, 465] | loss: 4.5181 | contrastive: 3.8296 | asl: 0.6885
[1, 470] | loss: 4.4726 | contrastive: 3.8148 | asl: 0.6579
[1, 475] | loss: 4.4780 | contrastive: 3.8342 | asl: 0.6438
[1, 480] | loss: 4.5285 | contrastive: 3.8376 | asl: 0.6909
[1, 485] | loss: 4.4958 | contrastive: 3.8444 | asl: 0.6514
[1, 490] | loss: 4.4711 | contrastive: 3.8042 | asl: 0.6670
[1, 495] | loss: 4.4912 | contrastive: 3.8235 | asl: 0.6677
[1, 500] | loss: 4.4859 | contrastive: 3.8055 | asl: 0.6804
[1, 505] | loss: 4.4751 | contrastive: 3.8162 | asl: 0.6589
[1, 510] | loss: 4.4334 | contrastive: 3.7851 | asl: 0.6483
[1, 515] | loss: 4.4033 | contrastive: 3.8009 | asl: 0.6024
[1, 520] | loss: 4.5246 | contrastive: 3.8430 | asl: 0.6816
[1, 525] | loss: 4.4152 | contrastive: 3.8206 | asl: 0.5947
[1, 530] | loss: 4.4610 | contrastive: 3.8088 | asl: 0.6521
[1, 535] | loss: 4.4438 | contrastive: 3.7989 | asl: 0.6449
[1, 540] | loss: 4.4995 | contrastive: 3.8314 | asl: 0.6681
